label,orbital_period,transit_duration,transit_duration_err1,transit_duration_err2,transit_depth,transit_depth_err1,transit_depth_err2,planet_radius,planet_radius_err1,planet_radius_err2,equi_temp,stellar_temp,stellar_temp_err1,stellar_temp_err2,stellar_radius,stellar_radius_err1,stellar_radius_err2
0.0,386.6030528,6.8057,0.0184,-0.0184,24900.0,45.8,-45.8,41.5,1.68,-1.68,297.0,5543.0,79.0,-79.0,1.58,0.064,-0.064
1.0,21.67699193,3.4555,0.0656,-0.0656,857.0,27.1,-27.1,2.95,0.12,-0.23,530.0,4954.0,79.0,-79.0,0.828,0.032,-0.065
1.0,4.99677968,2.1717,0.0762,-0.0762,935.0,39.7,-39.7,2.78,0.52,-0.23,917.0,5339.0,175.0,-159.0,0.847,0.161,-0.069
1.0,4.280963604,2.875,0.042,-0.042,751.0,14.1,-14.1,2.3,0.58,-0.19,1012.0,5644.0,152.0,-169.0,0.831,0.207,-0.069
0.0,1.50635409,1.5155,0.0483,-0.0483,2210.0,18.3,-18.3,4.53,1.01,-0.44,1452.0,5714.0,155.0,-172.0,0.831,0.186,-0.08
0.0,670.645531,53.412,0.131,-0.131,18100.0,33.5,-33.5,14.14,2.13,-0.71,196.0,5520.0,100.0,-111.0,0.983,0.148,-0.049
0.0,61.2563628,7.633,0.105,-0.105,5120.0,70.6,-70.6,39.87,12.8,-5.48,505.0,6144.0,184.0,-220.0,1.091,0.35,-0.15
1.0,38.3775486,5.588,0.113,-0.113,724.0,23.4,-23.4,2.82,0.37,-0.34,529.0,5481.0,82.0,-74.0,1.036,0.138,-0.124
1.0,41.19725502,4.6297,0.0633,-0.0633,2210.0,45.5,-45.5,3.86,0.15,-0.33,439.0,5031.0,75.0,-83.0,0.848,0.033,-0.072
1.0,6.252962249,2.5819,0.0426,-0.0426,1040.0,24.5,-24.5,2.65,0.1,-0.23,823.0,5031.0,75.0,-83.0,0.848,0.033,-0.072
1.0,16.01308419,3.2554,0.0791,-0.0791,1120.0,39.4,-39.4,3.1,0.34,-0.31,593.0,5015.0,164.0,-149.0,0.826,0.091,-0.082
1.0,32.62876672,4.7971,0.058,-0.058,1800.0,25.4,-25.4,3.36,0.76,-0.33,506.0,5586.0,152.0,-152.0,0.798,0.181,-0.077
1.0,91.7732862,6.473,0.204,-0.204,652.0,36.2,-36.2,2.12,0.48,-0.21,359.0,5586.0,152.0,-152.0,0.798,0.181,-0.077
1.0,4.959319244,2.22739,0.0075,-0.0075,9800.0,20.0,-20.0,12.21,1.96,-1.46,1103.0,5712.0,77.0,-77.0,1.082,0.173,-0.13
0.0,2.701287801,3.3827,0.0892,-0.0892,860.0,20.9,-20.9,6.54,1.64,-0.75,1222.0,5550.0,182.0,-182.0,0.91,0.228,-0.105
1.0,4.49876511,3.7362,0.0934,-0.0934,460.0,17.5,-17.5,2.1,0.65,-0.22,1133.0,6075.0,189.0,-210.0,0.969,0.3,-0.1
0.0,19.65120951,5.2514,0.0179,-0.0179,11800.0,27.7,-27.7,12.42,3.92,-1.69,730.0,6074.0,168.0,-210.0,1.063,0.336,-0.144
1.0,5.412203927,2.9472,0.024,-0.024,602.0,4.0,-4.0,2.94,0.43,-0.38,1093.0,5779.0,104.0,-115.0,1.087,0.157,-0.142
1.0,41.43958662,10.5989,0.088,-0.088,2790.0,22.6,-22.6,5.5,1.57,-0.96,516.0,5468.0,180.0,-164.0,1.046,0.297,-0.183
1.0,8.35389523,2.2514,0.0518,-0.0518,1040.0,28.2,-28.2,2.52,0.54,-0.24,790.0,5592.0,152.0,-152.0,0.787,0.169,-0.073
1.0,4.125543472,3.1744,0.0362,-0.0362,1490.0,13.3,-13.3,4.43,1.44,-0.51,1243.0,6174.0,173.0,-239.0,1.103,0.358,-0.128
1.0,2.816504904,2.50587,0.00666,-0.00666,16800.0,11.0,-11.0,12.21,1.62,-0.87,1219.0,5532.0,74.0,-83.0,0.955,0.127,-0.068
0.0,33.93373447,14.561,0.104,-0.104,8500.0,44.3,-44.3,7.34,0.9,-0.6,430.0,5040.0,136.0,-151.0,0.705,0.086,-0.058
1.0,3.689920099,2.6557,0.0677,-0.0677,427.0,13.8,-13.8,1.89,0.54,-0.2,1147.0,5880.0,157.0,-192.0,0.917,0.262,-0.098
1.0,4.431238488,3.15,0.0423,-0.0423,1010.0,15.2,-15.2,3.25,0.47,-0.25,1104.0,5714.0,77.0,-77.0,1.015,0.148,-0.079
1.0,11.37936986,2.6255,0.073,-0.073,1020.0,29.7,-29.7,3.95,0.57,-0.31,806.0,5714.0,77.0,-77.0,1.015,0.148,-0.079
1.0,26.39432897,3.573,0.0643,-0.0643,1510.0,36.3,-36.3,3.07,0.41,-0.22,489.0,5129.0,154.0,-154.0,0.763,0.103,-0.055
1.0,13.57078281,3.3539,0.0489,-0.0489,512.0,6.3,-6.3,2.64,0.4,-0.27,785.0,5854.0,105.0,-117.0,1.012,0.154,-0.103
1.0,7.12594387,3.0014,0.0384,-0.0384,192.0,4.4,-4.4,1.79,0.26,-0.23,997.0,5779.0,104.0,-115.0,1.087,0.157,-0.142
0.0,7.442652004,2.3078,0.0129,-0.0129,24400.0,37.8,-37.8,15.03,4.73,-1.58,967.0,6108.0,183.0,-201.0,0.956,0.301,-0.1
1.0,16.38489988,3.0249,0.0798,-0.0798,1130.0,42.0,-42.0,2.0,0.09,-0.1,433.0,4126.0,82.0,-82.0,0.615,0.027,-0.029
1.0,7.8774163,2.0805,0.0517,-0.0517,1310.0,37.7,-37.7,2.16,0.09,-0.11,553.0,4126.0,82.0,-82.0,0.615,0.027,-0.029
1.0,36.4454001,4.007,0.126,-0.126,1120.0,53.4,-53.4,1.99,0.09,-0.09,332.0,4126.0,82.0,-82.0,0.615,0.027,-0.029
1.0,3.728732147,2.683,0.035,-0.035,5230.0,18.5,-18.5,6.02,1.22,-0.52,1023.0,5497.0,166.0,-149.0,0.809,0.164,-0.07
1.0,2.243380573,1.1196,0.0384,-0.0384,822.0,25.6,-25.6,1.99,0.1,-0.12,822.0,4149.0,82.0,-91.0,0.564,0.03,-0.033
0.0,10.40599802,6.5036,0.0145,-0.0145,14500.0,22.4,-22.4,11.23,2.92,-1.95,833.0,5746.0,173.0,-173.0,0.924,0.241,-0.16
1.0,2.337437946,1.9982,0.0271,-0.0271,971.0,13.7,-13.7,2.34,0.17,-0.09,1070.0,5005.0,79.0,-79.0,0.765,0.055,-0.028
1.0,11.59822233,2.5237,0.052,-0.052,2800.0,46.3,-46.3,2.65,0.21,-0.29,396.0,3688.0,73.0,-91.0,0.473,0.037,-0.051
1.0,6.575315881,4.3084,0.0306,-0.0306,2790.0,14.9,-14.9,5.31,1.5,-0.81,1015.0,5992.0,162.0,-180.0,0.989,0.28,-0.151
1.0,7.275040844,7.5377,0.0681,-0.0681,3000.0,11.5,-11.5,4.86,1.05,-0.37,833.0,5485.0,164.0,-180.0,0.867,0.187,-0.067
1.0,19.27153892,2.7594,0.0551,-0.0551,1220.0,35.3,-35.3,1.93,0.1,-0.12,393.0,4077.0,81.0,-81.0,0.56,0.03,-0.034
1.0,10.06524317,1.369,0.0393,-0.0393,1050.0,39.2,-39.2,1.91,0.1,-0.12,488.0,4077.0,81.0,-81.0,0.56,0.03,-0.034
1.0,12.3935651,3.8896,0.0834,-0.0834,917.0,29.1,-29.1,2.66,0.54,-0.23,677.0,5557.0,166.0,-166.0,0.75,0.152,-0.065
1.0,43.84439721,6.802,0.119,-0.119,615.0,7.7,-7.7,2.87,0.43,-0.3,531.0,5854.0,105.0,-117.0,1.012,0.154,-0.103
0.0,3.341913228,3.813,0.12,-0.12,725.0,21.3,-21.3,21.55,3.54,-1.89,1032.0,5295.0,175.0,-159.0,0.811,0.133,-0.071
0.0,1.626630225,2.1145,0.0285,-0.0285,1620.0,19.0,-19.0,32.43,9.0,-4.83,1547.0,5735.0,155.0,-172.0,0.973,0.27,-0.145
1.0,2.711504086,3.0099,0.0423,-0.0423,838.0,14.5,-14.5,3.12,1.02,-0.34,1420.0,6214.0,174.0,-239.0,1.076,0.353,-0.118
1.0,7.21203748,4.0491,0.058,-0.058,950.0,19.5,-19.5,3.32,1.09,-0.36,1025.0,6214.0,174.0,-239.0,1.076,0.353,-0.118
0.0,14.1798187,2.505,0.315,-0.315,460.0,51.9,-51.9,1.88,0.71,-0.14,711.0,5799.0,161.0,-168.0,0.878,0.333,-0.065
1.0,8.47237911,2.7245,0.0484,-0.0484,1120.0,26.7,-26.7,2.59,0.37,-0.22,751.0,5354.0,159.0,-159.0,0.788,0.113,-0.066
1.0,60.4189369,5.039,0.184,-0.184,931.0,49.6,-49.6,2.36,0.34,-0.2,390.0,5354.0,159.0,-159.0,0.788,0.113,-0.066
1.0,12.61190435,5.1497,0.0592,-0.0592,6110.0,27.6,-27.6,7.4,2.2,-0.73,753.0,5795.0,156.0,-173.0,0.919,0.273,-0.091
0.0,1.433769925,1.8868,0.0232,-0.0232,1980.0,20.4,-20.4,46.58,8.01,-8.0,1920.0,6017.0,72.0,-90.0,1.339,0.23,-0.23
0.0,10.31872301,3.836,0.121,-0.121,872.0,26.4,-26.4,28.59,8.61,-3.69,876.0,5927.0,176.0,-193.0,1.06,0.319,-0.137
1.0,2.539183147,2.4282,0.0559,-0.0559,382.0,11.4,-11.4,2.06,0.29,-0.28,1332.0,5519.0,82.0,-74.0,1.062,0.154,-0.14
1.0,6.770300385,2.0844,0.0454,-0.0454,1300.0,29.7,-29.7,2.77,0.46,-0.15,812.0,5653.0,166.0,-166.0,0.679,0.112,-0.037
0.0,0.444291966,2.0792,0.0115,-0.0115,11000.0,45.9,-45.9,27.51,3.46,-1.73,1836.0,5255.0,156.0,-156.0,0.636,0.08,-0.04
1.0,20.06036336,3.3203,0.0754,-0.0754,1490.0,45.1,-45.1,1.96,0.13,-0.16,361.0,3950.0,70.0,-86.0,0.493,0.033,-0.04
1.0,46.1842039,4.758,0.13,-0.13,1390.0,56.4,-56.4,1.83,0.12,-0.15,273.0,3950.0,70.0,-86.0,0.493,0.033,-0.04
1.0,23.9800854,5.351,0.177,-0.177,104.0,6.5,-6.5,1.31,0.2,-0.13,649.0,5854.0,105.0,-117.0,1.012,0.154,-0.103
1.0,7.82502168,2.186,0.12,-0.12,521.0,36.4,-36.4,1.2,0.08,-0.1,494.0,3950.0,70.0,-86.0,0.493,0.033,-0.04
1.0,3.895936525,2.3111,0.0302,-0.0302,8540.0,29.5,-29.5,7.34,1.53,-0.65,1005.0,5557.0,167.0,-167.0,0.774,0.161,-0.069
1.0,22.36646466,5.228,0.122,-0.122,987.0,35.1,-35.1,2.32,0.38,-0.16,536.0,5395.0,160.0,-160.0,0.734,0.122,-0.052
1.0,1.625522174,2.38963,0.00338,-0.00338,7970.0,11.8,-11.8,9.73,1.41,-1.42,1579.0,5539.0,83.0,-74.0,1.106,0.161,-0.161
0.0,7.544039,6.222,0.731,-0.731,323.0,28.2,-28.2,17.47,4.12,-1.65,838.0,5657.0,152.0,-169.0,0.824,0.194,-0.078
1.0,9.02930689,3.1449,0.0528,-0.0528,1020.0,21.9,-21.9,2.57,0.44,-0.26,757.0,5349.0,167.0,-167.0,0.82,0.141,-0.082
0.0,10.32803571,7.7915,0.0272,-0.0272,16900.0,31.8,-31.8,13.28,3.64,-2.41,843.0,5627.0,169.0,-169.0,1.024,0.28,-0.186
1.0,143.2063047,8.9302,0.0961,-0.0961,10600.0,82.4,-82.4,8.9,0.82,-0.38,308.0,5485.0,98.0,-120.0,0.867,0.079,-0.037
1.0,6.164876,3.262,0.186,-0.186,55.8,4.3,-4.3,0.79,0.13,-0.08,1021.0,5854.0,105.0,-117.0,1.012,0.154,-0.103
1.0,60.32494216,6.6188,0.0327,-0.0327,20300.0,64.0,-64.0,12.19,1.11,-0.52,411.0,5485.0,98.0,-120.0,0.867,0.079,-0.037
1.0,29.1598615,4.803,0.2,-0.2,488.0,43.5,-43.5,1.91,0.2,-0.07,524.0,5485.0,99.0,-112.0,0.867,0.092,-0.034
0.0,1.540397253,2.1541,0.0846,-0.0846,816.0,25.7,-25.7,25.69,7.44,-2.33,1470.0,5663.0,171.0,-188.0,0.915,0.265,-0.083
0.0,2.99025443,5.414,0.113,-0.113,589.0,14.1,-14.1,1.7,0.1,-0.15,918.0,4667.0,140.0,-154.0,0.731,0.042,-0.063
1.0,1.594745374,1.9604,0.0106,-0.0106,15000.0,20.3,-20.3,11.3,3.09,-1.33,1539.0,5934.0,160.0,-178.0,0.893,0.244,-0.105
1.0,4.783002698,2.335,0.0332,-0.0332,1010.0,16.6,-16.6,2.5,0.34,-0.19,886.0,5170.0,155.0,-155.0,0.807,0.111,-0.06
1.0,20.50588921,4.0595,0.0481,-0.0481,2110.0,31.0,-31.0,3.41,0.28,-0.31,518.0,4905.0,148.0,-148.0,0.761,0.063,-0.07
1.0,3.340218842,1.9104,0.0318,-0.0318,1630.0,26.6,-26.6,2.03,0.13,-0.17,656.0,3950.0,70.0,-86.0,0.493,0.033,-0.04
0.0,2.507089906,2.0067,0.0427,-0.0427,1340.0,24.7,-24.7,30.26,9.57,-3.19,1326.0,5926.0,184.0,-226.0,0.939,0.297,-0.099
1.0,18.64932728,4.4056,0.0687,-0.0687,894.0,20.9,-20.9,3.12,0.47,-0.28,701.0,5775.0,78.0,-78.0,1.053,0.161,-0.094
1.0,4.90144976,4.1654,0.0585,-0.0585,141.0,2.9,-2.9,1.7,0.08,-0.05,1262.0,5847.0,64.0,-75.0,1.402,0.063,-0.046
1.0,9.75192101,4.793,0.181,-0.181,418.0,16.2,-16.2,2.76,0.43,-0.24,870.0,5775.0,78.0,-78.0,1.053,0.161,-0.094
1.0,38.5576546,5.794,0.199,-0.199,993.0,26.8,-26.8,4.02,0.62,-0.36,550.0,5775.0,78.0,-78.0,1.053,0.161,-0.094
1.0,3.525632539,2.59959,0.00079,-0.00079,22300.0,13.1,-13.1,11.58,0.9,-0.48,975.0,5150.0,82.0,-82.0,0.793,0.062,-0.033
1.0,7.748094239,3.5957,0.043,-0.043,2470.0,25.7,-25.7,5.52,1.7,-0.56,964.0,5973.0,169.0,-232.0,1.085,0.334,-0.111
1.0,23.96793669,3.827,0.113,-0.113,1180.0,46.1,-46.1,1.8,0.1,-0.15,329.0,3747.0,75.0,-83.0,0.524,0.03,-0.044
1.0,8.29561738,1.3421,0.0773,-0.0773,824.0,57.5,-57.5,1.82,0.1,-0.15,469.0,3747.0,75.0,-83.0,0.524,0.03,-0.044
1.0,8.11437482,2.2736,0.0447,-0.0447,1560.0,32.0,-32.0,2.1,0.14,-0.16,460.0,3692.0,73.0,-83.0,0.517,0.035,-0.039
0.0,38.03672948,4.34617,0.00645,-0.00645,82900.0,83.3,-83.3,27.5,5.28,-2.27,500.0,5575.0,166.0,-183.0,0.932,0.179,-0.077
0.0,3.747838198,5.0642,0.0445,-0.0445,616.0,5.3,-5.3,13.65,3.11,-1.04,1031.0,5514.0,149.0,-149.0,0.826,0.188,-0.063
1.0,14.74914825,6.0995,0.044,-0.044,430.0,4.2,-4.2,2.89,0.13,-0.1,874.0,5847.0,64.0,-75.0,1.402,0.063,-0.046
1.0,21.81295996,4.3791,0.091,-0.091,1180.0,35.8,-35.8,3.38,0.91,-0.49,639.0,5601.0,166.0,-166.0,0.999,0.269,-0.145
0.0,7.91936937,3.3148,0.0209,-0.0209,15100.0,49.8,-49.8,10.34,2.59,-0.87,814.0,5690.0,154.0,-172.0,0.776,0.195,-0.065
1.0,15.37562369,3.3169,0.0645,-0.0645,15300.0,114.0,-114.0,11.01,0.44,-0.82,600.0,4986.0,79.0,-79.0,0.833,0.033,-0.062
1.0,8.10363271,3.161,0.0635,-0.0635,888.0,24.5,-24.5,2.11,0.18,-0.2,687.0,4861.0,131.0,-146.0,0.732,0.062,-0.068
1.0,4.71510843,2.506,0.103,-0.103,418.0,22.0,-22.0,1.46,0.12,-0.14,823.0,4861.0,131.0,-146.0,0.732,0.062,-0.068
1.0,6.365839713,2.9721,0.0408,-0.0408,781.0,13.1,-13.1,2.44,0.6,-0.21,914.0,5776.0,155.0,-155.0,0.849,0.212,-0.071
0.0,5.97581754,3.065,0.185,-0.185,962.0,23.5,-23.5,3.86,1.32,-0.44,1047.0,6108.0,193.0,-214.0,0.997,0.341,-0.114
0.0,2.446737317,4.7211,0.0546,-0.0546,1180.0,12.7,-12.7,26.25,6.9,-2.47,1261.0,5764.0,154.0,-171.0,0.863,0.227,-0.081
1.0,3.04033046,1.8411,0.0168,-0.0168,10900.0,25.8,-25.8,8.99,0.8,-0.99,1021.0,5035.0,151.0,-151.0,0.791,0.071,-0.087
1.0,15.33528675,3.897,0.0771,-0.0771,3080.0,39.0,-39.0,5.0,0.49,-0.18,610.0,5251.0,105.0,-105.0,0.817,0.08,-0.029
1.0,7.95825328,4.377,0.229,-0.229,50.0,3.7,-3.7,1.06,0.05,-0.04,1074.0,5847.0,64.0,-75.0,1.402,0.063,-0.046
1.0,31.33046135,5.176,0.102,-0.102,5070.0,48.4,-48.4,6.5,0.64,-0.23,481.0,5251.0,105.0,-105.0,0.817,0.08,-0.029
0.0,3.9043425,3.831,0.0271,-0.0271,16200.0,62.1,-62.1,12.28,3.56,-1.19,1104.0,5810.0,157.0,-175.0,0.898,0.26,-0.087
0.0,9.286358079,3.49949,0.00533,-0.00533,44800.0,32.8,-32.8,17.61,4.05,-1.87,796.0,5670.0,169.0,-169.0,0.821,0.189,-0.087
0.0,3.951405455,2.1862,0.0267,-0.0267,2450.0,25.2,-25.2,31.44,8.94,-2.96,1133.0,6046.0,182.0,-182.0,0.869,0.247,-0.082
1.0,23.65369415,8.2183,0.021,-0.021,3340.0,13.2,-13.2,7.89,1.38,-1.52,731.0,5739.0,114.0,-103.0,1.384,0.242,-0.266
1.0,13.23352214,6.7372,0.0875,-0.0875,505.0,10.8,-10.8,3.06,0.54,-0.58,888.0,5739.0,114.0,-103.0,1.384,0.242,-0.266
1.0,6.15560285,4.9843,0.0994,-0.0994,285.0,8.6,-8.6,2.32,0.4,-0.45,1146.0,5739.0,114.0,-103.0,1.384,0.242,-0.266
1.0,2.090811305,3.388,0.106,-0.106,116.0,6.4,-6.4,1.62,0.28,-0.32,1642.0,5739.0,114.0,-103.0,1.384,0.242,-0.266
1.0,3.180027898,3.5797,0.0558,-0.0558,120.0,2.7,-2.7,1.53,0.07,-0.05,1458.0,5847.0,64.0,-75.0,1.402,0.063,-0.046
1.0,50.4467417,7.159,0.247,-0.247,370.0,20.1,-20.1,2.67,0.47,-0.51,568.0,5739.0,114.0,-103.0,1.384,0.242,-0.266
1.0,11.76307164,2.9076,0.05,-0.05,1040.0,23.9,-23.9,2.35,0.17,-0.08,616.0,4959.0,99.0,,0.756,0.054,-0.027
1.0,56.2279271,3.57,0.134,-0.134,863.0,44.9,-44.9,2.37,0.17,-0.09,366.0,4959.0,99.0,0.0,0.756,0.054,-0.027
0.0,2.384052875,3.0918,0.0817,-0.0817,1270.0,29.9,-29.9,17.06,1.32,-1.6,1010.0,4794.0,130.0,-144.0,0.701,0.054,-0.066
1.0,7.953547,2.6312,0.0595,-0.0595,875.0,25.3,-25.3,2.25,0.07,-0.14,696.0,4768.0,76.0,-85.0,0.779,0.023,-0.049
1.0,4.14451656,2.3421,0.0984,-0.0984,392.0,19.8,-19.8,1.48,0.05,-0.09,864.0,4768.0,76.0,-85.0,0.779,0.023,-0.049
0.0,4.859386384,2.2757,0.0122,-0.0122,6040.0,27.2,-27.2,38.33,12.8,-4.27,1114.0,6072.0,168.0,-232.0,0.988,0.33,-0.11
1.0,10.52629458,2.5211,0.0257,-0.0257,9770.0,26.4,-26.4,8.24,1.48,-0.8,713.0,5386.0,159.0,-159.0,0.793,0.143,-0.077
1.0,4.583520948,2.7055,0.0321,-0.0321,3810.0,44.5,-44.5,5.39,1.6,-0.53,1038.0,5815.0,157.0,-175.0,0.877,0.26,-0.087
1.0,3.76181843,3.5176,0.0901,-0.0901,511.0,16.4,-16.4,2.66,0.73,-0.26,1121.0,5653.0,154.0,-171.0,0.949,0.26,-0.093
1.0,8.20396958,2.9667,0.0529,-0.0529,1020.0,21.2,-21.2,3.01,0.24,-0.3,742.0,5015.0,149.0,-149.0,0.826,0.066,-0.083
1.0,14.49645186,4.016,0.305,-0.305,648.0,26.7,-26.7,3.01,0.24,-0.3,613.0,5015.0,149.0,-149.0,0.826,0.066,-0.083
1.0,6.54626149,2.75,0.111,-0.111,656.0,30.0,-30.0,2.19,0.22,-0.08,810.0,5251.0,105.0,-105.0,0.817,0.08,-0.029
1.0,12.71809866,3.0957,0.0562,-0.0562,1150.0,24.5,-24.5,2.31,0.17,-0.22,562.0,4702.0,128.0,-142.0,0.686,0.049,-0.067
1.0,36.06588163,4.3246,0.0634,-0.0634,1560.0,32.1,-32.1,2.64,0.19,-0.26,397.0,4702.0,128.0,-142.0,0.686,0.049,-0.067
1.0,4.190425659,2.8589,0.0224,-0.0224,2880.0,14.1,-14.1,6.21,2.05,-0.82,1234.0,6073.0,190.0,-232.0,1.135,0.375,-0.15
1.0,3.709870784,3.0694,0.0265,-0.0265,2020.0,20.1,-20.1,4.35,0.64,-0.28,1151.0,5727.0,77.0,-85.0,0.978,0.146,-0.062
1.0,16.3297527,6.271,0.112,-0.112,1190.0,18.1,-18.1,3.75,1.11,-0.47,727.0,5878.0,158.0,-193.0,0.987,0.291,-0.125
1.0,27.80756622,4.21587,0.00935,-0.00935,25400.0,47.3,-47.3,13.84,3.63,-1.21,554.0,5862.0,177.0,-177.0,0.785,0.206,-0.069
1.0,80.8723469,11.195,0.13,-0.13,3600.0,25.9,-25.9,7.59,1.24,-1.52,452.0,5510.0,82.0,-71.0,1.238,0.202,-0.247
0.0,3.166465862,2.9381,0.0327,-0.0327,4360.0,44.4,-44.4,26.82,2.48,-2.74,954.0,4968.0,151.0,-136.0,0.704,0.065,-0.072
1.0,24.99324319,5.9409,0.0669,-0.0669,270.0,4.9,-4.9,2.29,0.12,-0.08,712.0,5718.0,85.0,-77.0,1.317,0.064,-0.048
1.0,10.35533116,3.1775,0.0602,-0.0602,751.0,17.4,-17.4,2.47,0.59,-0.31,777.0,5501.0,164.0,-147.0,0.918,0.217,-0.117
1.0,16.08518937,3.984,0.0875,-0.0875,1440.0,26.7,-26.7,3.68,0.54,-0.36,613.0,5239.0,174.0,-158.0,0.826,0.122,-0.081
1.0,7.49018305,2.7297,0.0424,-0.0424,1120.0,22.7,-22.7,2.56,0.17,-0.12,753.0,5103.0,101.0,-101.0,0.787,0.051,-0.039
1.0,36.2761238,4.7865,0.0756,-0.0756,1570.0,35.5,-35.5,3.03,0.2,-0.15,445.0,5103.0,101.0,-101.0,0.787,0.051,-0.039
1.0,17.46087931,2.2641,0.0721,-0.0721,812.0,38.3,-38.3,2.32,0.15,-0.12,568.0,5103.0,101.0,-101.0,0.787,0.051,-0.039
1.0,56.0560754,4.685,0.132,-0.132,1630.0,66.7,-66.7,1.94,0.12,-0.22,233.0,3593.0,71.0,-86.0,0.491,0.03,-0.055
1.0,41.40831669,5.0264,0.0136,-0.0136,22800.0,31.4,-31.4,11.38,2.07,-1.04,453.0,5522.0,165.0,-148.0,0.747,0.136,-0.068
1.0,5.715425977,2.5242,0.0418,-0.0418,908.0,17.4,-17.4,2.47,0.37,-0.17,850.0,5237.0,157.0,-157.0,0.826,0.124,-0.057
1.0,49.18394185,11.3364,0.051,-0.051,1650.0,5.4,-5.4,8.2,0.5,-0.55,669.0,5626.0,89.0,-78.0,2.057,0.125,-0.138
1.0,20.0261412,1.611,0.195,-0.195,421.0,60.7,-60.7,2.28,0.35,-0.16,559.0,5237.0,157.0,-157.0,0.826,0.124,-0.057
